State;5 - Temperature;6 - Temperature;8 - Temperature;T-101 - Spec Value (Reflux Ratio);T-101 - Spec Value (Distillate Rate);T-100 - Spec Value (Distillate Rate);10 Out - Master Comp Molar Flow (diM-Ether);15 - Master Comp Molar Flow (Methanol);SPRDSHT-1 - A10: Q_sum
Case 95;240.00;340.00;96.67;1.53;80.00;123.33;110.36;25.99;55295504.80
Case 96;240.00;340.00;96.67;1.53;80.00;130.00;110.41;19.31;54952899.14
Case 97;240.00;340.00;96.67;1.77;60.00;110.00;106.12;43.37;50231815.10
Case 98;240.00;340.00;96.67;1.77;60.00;116.67;106.38;36.54;51907744.34
Case 99;240.00;340.00;96.67;1.77;60.00;123.33;106.47;29.87;53382285.80
Case 100;240.00;340.00;96.67;1.77;60.00;130.00;106.51;23.21;54332683.06
Case 101;240.00;340.00;96.67;1.77;66.67;110.00;107.47;42.07;51554973.29
Case 102;240.00;340.00;96.67;1.77;66.67;116.67;107.78;35.15;53326739.68
Case 103;240.00;340.00;96.67;1.77;66.67;123.33;107.89;28.46;54835626.07
Case 104;240.00;340.00;96.67;1.77;66.67;130.00;107.94;21.79;55591023.15
Case 105;240.00;340.00;96.67;1.77;73.33;110.00;108.77;40.79;52833985.42
Case 106;240.00;340.00;96.67;1.77;73.33;116.67;109.16;33.78;54736679.42
Case 107;240.00;340.00;96.67;1.77;73.33;123.33;109.29;27.07;56284959.49
Case 108;240.00;340.00;96.67;1.77;73.33;130.00;109.35;20.38;56908612.96
Case 109;240.00;340.00;96.67;1.77;80.00;110.00;109.92;39.60;54036581.59
Case 110;240.00;340.00;96.67;1.77;80.00;116.67;110.49;32.51;56131138.20
Case 111;240.00;340.00;96.67;1.77;80.00;123.33;110.67;25.69;57729103.67
Case 112;240.00;340.00;96.67;1.77;80.00;130.00;110.74;18.98;58280073.09
Case 113;240.00;340.00;96.67;2.00;60.00;110.00;106.29;43.25;51047020.76
Case 114;240.00;340.00;96.67;2.00;60.00;116.67;106.56;36.39;52729296.34
Case 115;240.00;340.00;96.67;2.00;60.00;123.33;106.67;29.69;54204854.92
Case 116;240.00;340.00;96.67;2.00;60.00;130.00;106.72;23.03;55589798.14
Case 117;240.00;340.00;96.67;2.00;66.67;110.00;107.65;41.94;52456948.86
Case 118;240.00;340.00;96.67;2.00;66.67;116.67;107.98;34.98;54240027.61
Case 119;240.00;340.00;96.67;2.00;66.67;123.33;108.10;28.27;55750866.21
Case 120;240.00;340.00;96.67;2.00;66.67;130.00;108.16;21.58;57155946.26
Case 121;240.00;340.00;96.67;2.00;73.33;110.00;108.94;40.65;53817807.60
Case 122;240.00;340.00;96.67;2.00;73.33;116.67;109.37;33.59;55739213.13
Case 123;240.00;340.00;96.67;2.00;73.33;123.33;109.52;26.86;57291923.54
Case 124;240.00;340.00;96.67;2.00;73.33;130.00;109.59;20.16;58717218.62
Case 125;240.00;340.00;96.67;2.00;80.00;110.00;109.99;39.49;55138308.76
Case 126;240.00;340.00;96.67;2.00;80.00;116.67;110.71;32.31;57225434.70
Case 127;240.00;340.00;96.67;2.00;80.00;123.33;110.90;25.45;58827935.72
Case 128;240.00;340.00;96.67;2.00;80.00;130.00;110.99;18.74;60276825.51
